POS,beautifully crafted and cooly unsettling . . . recreates the atmosphere of the crime expertly .,magnifiquement conçu et cooly troublant . . . recrée de manière experte l ' atmosphère du crime .,สร้างขึ้นอย่างสวยงามและไม่มั่นคงเย็นตา . . สร้างบรรยากาศของอาชญากรรมอย่างเชี่ยวชาญ,شيدت بشكل جميل وغير مستقر ... رائع ... بخلق خلق جو من الجريمة.,美しく細工された冷静な不安 。 。 。 犯罪の雰囲気を巧みに再現します 。,精美的制作和苦恼令人不安 。 。 。 专业地重现犯罪的气氛 。
POS,"es una de esas películas de las que uno sale reconfortado , agradecido , genuinamente sorprendido .","si vous souhaitez que vos ventes soient reconnues , vendues , achetées sans ordonnance .","ไม่ว่าจะเป็นเรื่องการขาย, การฟื้นฟู, agradecido, genuinamente sorprendido.",سواء كان ذلك مبيعات ، إحياء ، agradecido ، soruendamente حقيقي.,価格 、 価格 、 性能 、 レビュー 、 レビュー 、 レビュー 、 レビュー 、 レビューの価値をチェックする 。,es una deesaspelículasdelas que uno sale reconfortado ， agradecido ， genuinamente sorprendido 。
POS,"ou ' ve got to love a disney pic with as little cleavage as this one has , and a heroine as feisty and principled as jane .",vous devez aimer une photo de disney avec aussi peu de décolleté que celle - ci et une héroïne aussi énergique et respectueuse des principes que jane .,คุณต้องรักรูปดิสนี่ย์ที่มีความแตกแยกเล็ก ๆ น้อย ๆ อย่างนี้และนางเอกก็ซ่าและมีศีลธรรมเหมือนเจน,عليك أن تحب الانقسام ديزني مع القليل قليلا من هذا، وكانت المشاكس ومعنويا مثل جين.,私たちはディズニーの写真が好きで 、 これほど裂け目が少なく 、 ヒロインが才能がありジェーンのように原理を定めています 。,你必须像这个人一样喜欢迪士尼的照片 ， 而女主角就像一个充满活力和原则性的珍妮 。
POS,"director kapur is a filmmaker with a real flair for epic landscapes and adventure , and this is a better film than his earlier english - language movie , the overpraised elizabeth .","le réalisateur kapur est un cinéaste passionné de paysages épiques et d’aventures . c’est un film meilleur que son précédent film de langue anglaise , elizabeth , surestimé .",ผู้กำกับ kapur เป็นผู้อำนวยการสร้างที่มีไหวพริบที่แท้จริงสำหรับภูมิทัศน์อันยิ่งใหญ่และการผจญภัยและนี่เป็นภาพยนตร์ที่ดีกว่าภาพยนตร์ภาษาอังกฤษก่อนหน้าของเขา,المخرج كابور هو منتج يتمتع بطابع حقيقي لمنظر طبيعي رائع ومغامرة ، وهذا فيلم أفضل من فيلمه الإنجليزي السابق.,監督のカプールは 、 壮大な風景と冒険に本物の才能を持った映画製作者です 、 そして 、 これは彼の以前の英語映画 、 賞賛されたエリザベスより良い映画です 。,导演卡普尔是一位具有真实风格的电影制作人 ， 他对史诗般的风景和冒险很有天赋 ， 这是一部比他早期的英语电影 ， 即过度评价的伊丽莎白更好的电影 。
POS,the komediant is a tale worth catching .,le komediant est un conte à découvrir .,โคมิเดียนเป็นเรื่องที่ควรค่าแก่การจับตา,الممثل الكوميدي هو شيء يستحق المشاهدة.,コメディアンはキャッチする価値がある物語です 。,喜剧演员是一个值得捕捉的故事 。
POS,"it ' s still a comic book , but maguire makes it a comic book with soul .","c ' est toujours une bande dessinée , mais maguire en fait une bande dessinée avec une âme .",มันยังคงเป็นหนังสือการ์ตูน แต่แมกไกวร์ทำให้มันเป็นหนังสือการ์ตูนที่มีวิญญาณ,لا يزال كتاب فكاهي. لكن Maguire يجعله كتاب هزلي روح.,それはまだ漫画本ですが 、 maguireはそれを魂のある漫画本にします 。,它仍然是一本漫画书 ， 但是马奎尔使它成为一本有灵魂的漫画书 。
POS,a cautionary tale about the grandiosity of a college student who sees himself as impervious to a fall .,un récit édifiant sur la grandiosité d ' un étudiant qui se voit insensible aux chutes .,เรื่องเตือนเกี่ยวกับความยิ่งใหญ่ของนักศึกษาที่เห็นว่าตัวเองไม่สามารถตกได้,قصة تحذيرية حول عظمة الطلاب الذين يرون أنفسهم غير قادرين على السقوط,大学生の壮大さについての警告物語 。,一个关于一个大学生的骄傲的警示故事 ， 他认为自己不会堕落 。
POS,"extremely well acted by the four primary actors , this is a seriously intended movie that is not easily forgotten .","extrêmement bien joué par les quatre acteurs principaux , c’est un film sérieux qui n’est pas facilement oublié .",ทำหน้าที่อย่างดีเยี่ยมจากนักแสดงหลักสี่คนนี่เป็นภาพยนตร์ที่ตั้งใจอย่างจริงจังที่ไม่ลืมง่าย,تم تقديمه بشكل ممتاز من قبل الممثلين الأربعة الرئيسيين ، إنه فيلم خطير لا يمكن نسيانه بسهولة.,4人の主要な俳優によって非常によく演じられて 、 これは容易に忘れられない真剣に意図された映画です 。,四位主要演员表现得非常好 ， 这是一部不容易被人遗忘的精彩电影 。
POS,the unexplored story opportunities of " punch - drunk love " may have worked against the maker ' s minimalist intent but it is an interesting exercise by talented writer / director anderson .,"les opportunités inédites de l ' histoire d ' un «amour bourré d ' énergie» ont peut - être nui à l ' intention minimaliste du fabricant , mais il s ' agit d ' un exercice intéressant mené par le talentueux scénariste / réalisateur anderson .",โอกาสเรื่องราวที่ยังไม่ได้สำรวจของ "ความรักที่มีหมัดเด็ด" อาจทำงานร่วมกับเจตนารมย์ของผู้สร้าง แต่มันเป็นการออกกำลังกายที่น่าสนใจโดยนักเขียน / ผู้กำกับที่มีความสามารถ,هي احتمالات ، قصص غير مستكشفة من " الحب القوي الإرادة " قد تعمل مع نوايا المبدعين. لكنها ممارسة مثيرة للاهتمام من قبل كاتب / مخرج موهوب,パンチ - 酔った愛の未踏の物語の機会は 、 メーカーのミニマリストの意図に反して働いたかもしれませんが 、 それは才能のある作家 / 監督アンダーソンによる興味深い演習です 。,“ 无聊的爱情 ” 未经探索的故事机会可能违背了制片人的极简主义意图 ， 但这是一位有才华的作家 / 导演安德森的有趣练习 。
POS,the movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .,le film comprend comme beaucoup d ' autres comment la profondeur et l ' étendue de l ' intimité émotionnelle donnent à l ' acte physique tout son sens et la plus grande partie de son plaisir .,ภาพยนตร์เรื่องนี้มีความเข้าใจเหมือนคนอื่นไม่กี่คนว่าความลึกซึ้งและความลึกล้ำของความใกล้ชิดทางอารมณ์ทำให้ร่างกายแสดงออกถึงความหมายและความสุขของมันอย่างไร,يتفهم هذا الفيلم مثل عدد قليل من الآخرين كيف أن عمق وعمق التقارب العاطفي يجعل الجسم يعبر عن معناه وسعادته.,映画は 、 他の少数の人と同じように 、 感情的な親密さの深さと幅が 、 そのすべての意味とほとんどの喜びを身体的行為にどのように与えるかを理解しています 。,电影和其他人一样理解情感亲密的深度和广度如何赋予物理行为所有的意义和大部分乐趣 。
POS,"like the best of godard ' s movies . . . it is visually ravishing , penetrating , impenetrable .","comme le meilleur des films de godard . . . il est visuellement ravissant , pénétrant , impénétrable .",เหมือนหนังที่ดีที่สุดของ godard . . มันเป็นภาพที่มีเสน่ห์ดึงดูดและไม่ยอมรับ,انها مثل أفضل فيلم غودارد .. إنها صورة ساحرة وغير مقبولة.,ゴダールの映画の最高のように 。 。 。 それは視覚的に荒れ果てた 、 突き抜けた 、 突き抜けられない 。,像最好的戈达尔的电影 。 。 。 它具有视觉上的吸引力 ， 穿透力 ， 不可穿透性 。
POS,a map of the inner rhythms of love and jealousy and sacrifice drawn with a master ' s steady stroke .,"une carte des rythmes intérieurs d ' amour , de jalousie et de sacrifices dessinés d ' un trait constant du maître .",แผนที่จังหวะภายในของความรักความหึงหวงและการเสียสละที่ถูกวาดด้วยจังหวะที่มั่นคงของอาจารย์,خريطة لإيقاعات الحب والغيرة والتضحية المرسومة بإيقاع السيد.,マスターの安定したストロークで描かれた愛と嫉妬と犠牲の内なるリズムの地図 。,爱情 ， 嫉妒和牺牲的内在节奏的地图 ， 由主人稳定的笔触绘制 。
POS,two generations within one family test boundaries in this intelligent and restrained coming - of - age drama .,deux générations d ' une même famille testent les limites de ce drame intelligent et sobre du passage à l ' âge adulte .,สองชั่วอายุคนภายในขอบเขตการทดสอบครอบครัวหนึ่งในละครที่ชาญฉลาดและห้ามไม่ให้เข้ามาในยุคนี้,جيلان داخل حدود اختبار العائلة ، واحدة من الدراما الذكية والممنوع في هذا العصر.,1家族内の2世代がこの知的で拘束力のある成人向けのドラマの境界をテストします 。,一个家庭中的两代人在这个智能且内敛的成年时代戏剧中测试界限 。
POS,"a visionary marvel , but it ' s lacking a depth in storytelling usually found in anime like this .","une merveille visionnaire , mais il manque une profondeur dans la narration habituellement trouvée dans les animes comme celui - ci .",มหัศจรรย์ที่มีวิสัยทัศน์ แต่ก็ยังขาดความลึกซึ้งในการเล่าเรื่องที่มักพบในอะนิเมะเช่นนี้,معجزة البصيرة ولكن لا تزال تفتقر إلى عمق رواية القصص التي غالبا ما تواجه في أنيمي مثل هذا,幻想的な驚異だが 、 このようなアニメで通常見られるストーリーテリングの深さに欠けている 。,一个有远见的奇迹 ， 但它缺乏讲故事的深度 ， 通常在这样的动漫中找到 。
POS,"a powerful , chilling , and affecting study of one man ' s dying fall .","une étude puissante , effrayante et touchante de la chute d’un homme .",ทรงพลังหนาวสั่นและส่งผลกระทบต่อการศึกษาการตกสู่บาปของชายคนหนึ่ง,قوية ، يرتجف ، والتي تؤثر على دراسة سقوط الرجل,一人の男の亡くなる転倒の 、 力強く 、 冷たく 、 そして影響を与える研究 。,对一个人奄奄一息的堕落的强大 ， 寒冷和影响的研究 。
POS,"a graceful , contemplative film that gradually and artfully draws us into a world where the personal and the political get fatally intertwined .",un film gracieux et contemplatif qui nous entraîne graduellement et astucieusement dans un monde où le personnel et le politique se fatiguent fatalement .,ภาพยนตร์ที่สง่างามและไตร่ตรองซึ่งค่อยๆนำเราเข้าสู่โลกที่ซึ่งความเป็นส่วนตัวและการเมืองได้หลอมรวมเข้าด้วยกันอย่างถึงตาย,فيلم أنيق وعاكس يؤدي بنا ببطء إلى عالم فيه الموت الشخصي والسياسي معًا.,優雅で瞑想的な映画で 、 徐々にそして巧みに私たちを個人と政治が致命的に絡み合う世界に引き込みます 。,一部优雅 ， 沉思的电影 ， 逐渐巧妙地将我们带入一个个人与政治致命交织的世界 。
POS,a potent allegorical love story .,une histoire d ' amour allégorique puissante .,เรื่องราวความรักเชิงเปรียบเทียบที่มีศักยภาพ,قصة حب محتملة مع إمكانات نسبية,強力な寓意的なラブストーリー 。,一个强有力的寓言爱情故事 。
POS,enticing and often funny documentary .,documentaire attrayant et souvent amusant .,สารคดีที่น่าดึงดูดและตลก,فيلم وثائقي مثير للاهتمام ومضحك,魅力的で 、 しばしば面白いドキュメンタリー 。,诱人且经常搞笑的纪录片 。
POS,"[gosling ' s] combination of explosive physical energy and convincing intelligence helps create a complex , unpredictable character .",la combinaison [d ' énergie de gosling] d ' une énergie physique explosive et d ' une intelligence convaincante aide à créer un personnage complexe et imprévisible .,การรวมกันของพลังงานร่างกายระเบิดและสติปัญญาที่น่าเชื่อช่วยให้สร้างตัวละครที่ซับซ้อนและคาดเดาไม่ได้,مزيج من طاقة الجسم المتفجرة والذكاء المقنع يساعد على خلق شخصيات معقدة وغير متوقعة.,爆発的な物理的エネルギーと説得力のある知性の組み合わせは 、 複雑で予測不可能な性格を生み出すのに役立ちます 。,[gosling]爆炸性物理能量和令人信服的智力的结合有助于创造一个复杂的 ， 不可预测的角色 。
